"Sitemap/robots.txt","Sitemap/robots.txt"
"OK, but not change within last 24h","OK, aber nicht innerhalb der letzten 24 Std. geändert"
"OK","OK"
"File not found","Datei nicht gefunden"
"File available or found.","Datei nicht verfügbar oder vorhanden"
"Product Types","Produkttypen"
"ID","ID"
"Filename","Dateiname"
"Path","Pfad"
"Status","Status"
"Execute Check","Prüfung ausführen"
"No information available","Keine Informationen verfügbar"
"Shop Configuration","Shop-Konfiguration"
"Configuration Parameter","Konfigurationsparameter"
"Configuration Path","Konfigurationspfad"
"Configuration Value","Konfigurationswert"
"Configuration Recommendation","Konfigurationsempfehlung"
"Logfile Size", "Logfile Größe"
"Service","Service"
"Status", "Status"
"Webserver", "Webserver"
"Maximum execution time (PHP)", "Maximale Scriptlaufzeit (PHP)"
"Memory Limit", "Speicher-Limit"
".htaccess", ".htaccess"
".htaccess exists", ".htaccess vorhanden"
".htaccess does not exist", ".htaccess nicht vorhanden"
"Admin-URL", "Admin-URL"
"Shop-Status","Shop-Status"
"Media Dir Size", "Media Verzeichnis Größe"
"Size", "Größe"
"Number Files", "Anzahl Dateien"
"Number Directories", "Anzahl Verzeichnisse"
"No log directory", "Kein Log-Verzeichnis vorhanden"
"Last modified", "Zuletzt geändert"
"Not available", "Nicht verfügbar"
"Product Composition", "Produkt Komposition"
"Avg. connected product count", "Durchschn. Menge an verbundenen Produkten"
"Most complex product (SKU)", "Komplexestes Produkt (SKU)"
"Most simples attached", "Anzahl Simples des Produktes"
